CATEGORIA,PREGUNTA,RESPOSTA,DATA
Temes valencians,"Al costat de quina construcció de principis del segle XIX, encara que amb un nom d’origen àrab, es troba el punt més alt de la ciutat de València, amb una altura de 127 metres?",Assut de l'Or,12/12/2023
Història,Ordeneu aquestes constitucions espanyoles pel seu nombre d’articles,1812 (384) - 1978 (169) - 1931 (125) - 1876 (89),12/12/2023
Geografia,"Quina regió americana, on es troba la capital d’un estat sobirà, podria rebre el seu nom, segons algunes teories, de la presència d’escandinaus abans de l’arribada dels espanyols?",Cundinamarca,12/12/2023
Cine i música,Relacioneu aquestes pel·lícules amb el compositor de la seua banda sonora,"Ballant amb llops - Barry, El planeta dels simis - Goldsmith, Gladiator - Zimmer, Titanic - Horner",12/12/2023
Esports,"El trofeu de quin torneig esportiu porta el nom d’Henri Delaunay, que el va crear en 1927 tot i que no es va disputar per primera vegada fins a 1960?",Eurocopa de futbol,12/12/2023
Ciència,"Quin animal, típic del seu país, va causar la mort en 1980 d’Azaria Chamberlain, que en un principi va ser atribuïda als seus pares, i que va tindre lloc durant una excursió familiar a un famós parc nacional?",Dingo,12/12/2023
Miscelània,"Quin cos militar, que va estar actiu vora 300 anys i que encara s’esmenta en sentit figurat, pren el seu nom de la denominació de la tenda de campanya on s’allotjava el general en una batalla?",Guàrdia pretoriana,12/12/2023
Ciència,"Què va cartografiar, a partir de l’any 1959, Kira Shingareva, per encàrrec del govern soviètic?",La cara oculta de la Lluna,12/12/2023
Miscelània,Relacioneu aquests déus de l’hinduisme amb la seua representació,"1-Vishnu, 2-Brahma, 3-Krishna, 4-Shiva",19/12/2023
Miscelània,Quin bisbe dels segles IV i V va donar nom a una ciutat on se celebra un esdeveniment des de 1951 que va ser retransmès per La 2 des de finals dels anys 60 fins a 1982?,San Remo,19/12/2023
Miscelània,"Qui va estar tocant, infructuosament i des de 1977, al telèfon 5353456?",Raffaella Carrà,19/12/2023
Història,A quin personatge històric se li atribueix la frase que porta com a lema l’estat de Virginia i que l’actor John Wilkes Booth immortalitzà en un teatre l’any 1865?,Bruto,19/12/2023
Geografia,En quina serralada es troba la glacera més meridional d’Europa des de 2014?,Apenins,19/12/2023
Ciència,"Amb quina paraula en llatí, que també s’utilitza en sentit figurat, es coneix una de les dues magnituds físiques que es demostren amb el pèndol de Newton?",Momentum,19/12/2023
Ciència,"Quina ciutat americana és el centre tradicional de producció del capsicum annuum, que té entre 3.500 i 3.600 punts en l’escala Scoville?",Xalapa (jalapeño),19/12/2023
Temes valencians,Quin barri de València va ser construït gràcies a l’esperit col·laboratiu de l’Asociación de Empleados y Obreros de los Ferrocarriles de España?,L'Amistat,19/12/2023
Miscelània,"Amb quin terme, que hui conserva un to despectiu, es coneixia a l’actor disfressat que representava un paper al teatre grec?",Histrió,9/01/2024
Geografia,"Quin accident geogràfic dona nom a les repúbliques Cispadana i Transpadana, estats satèl·lits de la Primera República Francesa creats per Napoleó el 1796?",Riu Po,9/01/2024
Esports,Relacioneu aquestes banderes de la FIA amb el seu significat,"1-Conducta antiesportiva, 2-Complicació tècnica, 3-Desqualificació, 4-Perill en superfície",9/01/2024
Ciència,"Quin element químic, conegut també com a eka-cesi o actini K, i últim element descobert a la naturalesa abans de ser sintetitzat, va ser batejat en 1939 en honor al país natal de la seua descobridora?",Franci,9/01/2024
Història,"Amb el nom de quina ètnia, que representa vora el 90% de la població del seu país, van ser més coneguts els membres d’un partit polític que va governar eixe país entre 1975 i 1979?",Jemers,9/01/2024
Miscelània,"En quina ciutat va desenvolupar principalment la seua tasca Anjezë Gonxhe Bojaxhiu, guanyadora del premi Nobel en 1979?",Calcuta,9/01/2024
Temes valencians,"En quina localitat del País Valencià es va crear un projecte cultural en 2014 amb l’objectiu, entre d’altres, de resoldre conflictes entre els veïns causats pel pla d’ubicar un abocador de residus tòxics en les proximitats del municipi?",Fanzara,9/01/2024
Ciència,Quin era el cognom del militar i enginyer que va dissenyar entre 1946 i 1948 un objecte del qual s’han fabricat més de 100 milions d’unitats i que apareix en la bandera d’un estat sobirà d’Àfrica?,Kalashnikov,9/01/2024
Geografia,"Quina illa, separada del continent per l’estret de Bass, rep el seu nom des de 1856 en honor de l’explorador neerlandès que la va descobrir per als europeus en l’any 1642?",Tasmània,16/01/2024
Història,"Amb quin terme, que significa en acadi «construir en un lloc elevat», es coneix la tipologia arquitectònica que inclou, entre altres, el temple dedicat al déu Marduk en Babilònia al segle VI aC?",Zigurat,16/01/2024
Ciència,"Quin metge japonès va desenvolupar, en la dècada de 1920 i inspirat per les aportacions de Theodoor Hendrik van de Velde, un mètode controvertit que hui en dia porta el seu nom i el del metge austríac Hermann Knaus?",Ogino,16/01/2024
Ciència,"Quin animal de carrer, el nom del qual significa literalment «bordadora», es va fer mundialment famós el 2 de novembre de 1957?",Laika,16/01/2024
Miscelània,"Quina orde de cavalleria, creada per Felip III de Borgonya el 1430, està inspirada en un episodi de la mitologia grega protagonitzat per l’aspirant al tron de Tessàlia?",Toisó d'or,16/01/2024
Miscelània,"Quina regió del sud de l’Índia van visitar els portuguesos al segle XVI, quedant-se admirats per les capacitats acrobàtiques i les habilitats d’alguns dels seus habitants?",Malabar,16/01/2024
Esports,"Quin rècord posseeix el jugador de beisbol Mickey Mantle, actiu entre 1951 i 1968, per un fer que va ocórrer en l’any 2022?",Targeta esportiva més cara del món,16/01/2024
Temes valencians,"A quina família noble valenciana, que posseeix un palau al carrer Cavallers de València, se li van concedir per part d’Alfons el Magnànim les terres conquerides en 1248 que hui constitueixen un municipi de la Vall d’Albaida?",Malferit,16/01/2024
Ciència,"Quin animal del gènere Glossina, responsable d’unes 10.000 morts anuals, té un nom que és un pleonasme, perquè en el seu idioma nadiu significa el mateix animal?",Mosca tse-tse,23/01/2024
Miscelània,"Quin era el segon cognom de Charles Cunningham, administrador britànic en Irlanda que feia treballar en tan males condicions que ningú volia treballar per a ell ni vendre ni comprar-li res?",Boycott,23/01/2024
Història,"Quin estat sobirà europeu actual va tenir una monarquia, ostentada per la casa de Wittelsbach i d’Oldenburg-Glücksburg entre 1832 i 1924, restaurada en 1935, suspesa entre 1941 i 1944 i represa fins a 1974?",Grècia,23/01/2024
Cine i música,"Quin compositor de sarsueles, nascut el 1846, dona nom a una zona de Madrid sense entitat administrativa que pertany al barri de Justicia?",Federico Chueca,23/01/2024
Ciència,"A què li tenen por les persones que pateixen parascevedecatriafòbia, més popularitzada a partir del títol d’una pel·lícula de 1980?",Divendres 13,23/01/2024
Temes valencians,Ordeneu per població aquests municipis de la província de València,Albalat dels Sorells (4.158) - Albalat de la Ribera (3.411) - Albalat dels Tarongers (1.428),23/01/2024
Història,"Com eren coneguts els habitants de la part sud-est de l’actual província sud-africana de Cap Oriental, un terme hui en desús perquè suposa un insult inclús en les nostres llengües?",Cafres,23/01/2024
Miscelània,"Quina marca es troba, curiosament, al número 5 del carrer Me falta un tornillo de Valladolid?",Ikea,23/01/2024
Miscelània,"Quin era el cognom de l’empresari que en 1985 va fundar una empresa amb 25 treballadors que hui és la més important del seu sector al seu país, un estat sobirà europeu de poc més de 5 milions d’habitants?",Ryanair,30/01/2024
Ciència,"Quina substància resinosa, que ja utilitzaven en l’antic Egipte com a cosmètic i hui amb finalitats medicinals, s’obté després del processament que fan uns insectes concrets?",Pròpolis,30/01/2024
Geografia,"Quins dos estats sobirans es disputen la sobirania de la regió d’Esequibo, després de l’Acord de Ginebra del 17 de febrer de 1966?",Veneçuela i Guyana,30/01/2024
Esports,"En quin esport van destacar Ulrich Salchow, Alois Lutz i Axel Paulsen, fins el punt de donar nom a diferents tècniques d’eixe esport?",Patinatge artístic,30/01/2024
Temes valencians,"Quin animal, que protagonitzava un conte de Blasco Ibáñez publicat el matí de Reis de 1901, es troba hui «exposat» en un edifici religiós de València construït a principis del segle XVII?",Cocodril,30/01/2024
Ciència,Quin neologisme anglosaxó descriu el fenomen pel qual algú ignora les persones al seu voltant per estar només pendent del mòbil?,Phubbing,30/01/2024
Miscelània,"Quin nom donaren els francesos a un plat tradicional de la ciutat de Burgos conegut com «olla podrida», terme que ara utilitzem en sentit figurat?",Popurrí,30/01/2024
Geografia,Quin estat sobirà d’Àfrica rep el seu nom a partir de les seues dues illes més importants?,Sao Tomé i Príncipe,30/01/2024
Esports,A què fa referència el número 5280 que apareix en alguns partits en el terreny de joc dels Nuggets de l’NBA?,Altitud de la ciutat,6/02/2024
Ciència,"Quina proteïna, que va ser detectada per primera vegada en la sang d’un macaco de l’Índia, rep el seu nom a partir de la denominació en grec d’aquests animals?",Rh,6/02/2024
Cine i música,"Quina cantant madrilenya, nascuda el 1985, va ser coneguda artísticament amb el nom d’un producte cosmètic de la marca Mac que originàriament va ser encarregat per Madonna per a la seua gira mundial Blonde Ambition?",Russian Red,6/02/2024
Ciència,Ordeneu aquests òrgans per la quantitat de transplantaments a l’estat espanyol,Ronyó-Fetge-Pulmó-Cor-Pàncrees,6/02/2024
Temes valencians,Quina fita històrica va aconseguir Manuela Trasobares en 2007 quan va ser elegida com a regidora de la localitat castellonenca de Geldo?,Primera regidora transexual a l'estat espanyol,6/02/2024
Geografia,Digueu els quatre estats sobirans del món que tenen frontera terrestre amb 10 o més estats sobirans,"Brasil (10), França (11), Xina (14), Rússia (16)",6/02/2024
Geografia,"Quin nom rep la zona, que correspon amb el centre geogràfic de l’Espanya peninsular i on viuen unes 8.700 persones, que forma part de l’antiga xarxa de vies pecuàries per a la transhumància creada durant l’edat mitjana i moderna?",Cañada Real,6/02/2024
Miscelània,"Quina va ser la creació més famosa, en 1959, de la dona d’Elliot Handler, qui juntament amb Harold Matson van crear una empresa que té una presència destacada en una pel·lícula del segle XXI nominada a 8 Oscars?",Barbie,6/02/2024
Temes valencians,Digueu el nom de tres de les set pedanies que componen el districte dels Poblats del Nord,"Benifaraig, Poble Nou, Carpesa, Les Cases de Bàrcena, Mahuella, Tauladella, Rafalell i Vistabella, Massarojos, Borbotó",13/02/2024
Art i literatura,"Quin llibre, publicat el 1963, té com a títol una paraula que els xiquets i xiquetes de Colòmbia coneixen com «golosa», els de Mèxic com «avioncito» i els d’Astúries com «cascayo»?",Rayuela,13/02/2024
Miscelània,Ordeneu pel seu valor aquestes mans de pòquer,Full House - Color - Escala - Trio,13/02/2024
Ciència,"Quina fruita, introduïda a Europa al segle XIX, es coneix en anglès amb el nom d’una ciutat d’Àfrica i en castellà i valencià amb el d’una classe social asiàtica?",Mandarina,13/02/2024
Ciència,"Quina condició, que va ser suprimida en 1980 per l’Associació Americana de Psiquiatria del seu manual de trastorns mentals, rep el seu nom a partir de la denominació en grec d’un òrgan humà?",Histèria,13/02/2024
Art i literatura,Relacioneu aquestes madonne amb el seu pintor,"1-Bellini, 2-Rafael, 3-Perugino",13/02/2024
Geografia,Quin municipi de l’estat espanyol té un peix al seu escut i comparteix nom amb el d’una cantant andalusa nascuda el 1983?,Zahara de los Atunes,13/02/2024
Història,"Segons la majoria d’hipòtesis, a quin estat sobirà actual pertany l’illa de Guanahani, el primer punt d’Amèrica on arribà Colom i que va rebatejar com San Salvador?",Bahamas,13/02/2024
Esports,Quin objecte es regalava tradicionalment en el segle XIX al jugador de criquet que aconseguia eliminar tres bateadors de manera consecutiva?,Barret,20/02/2024
Història,"Amb quin nom, que en afrikaans significa «foca», es coneix una illa declarada patrimoni de la humanitat en 1999 i que des de finals del segle XVII fins a finals del XX es va utilitzar com a presó?",Robben Island,20/02/2024
Cine i música,"Quin ball popular d’origen africà, que també és el nom d’un instrument musical, va ser ballat per 119.986 persones a Miami el 13 de març de 1988?",Conga,20/02/2024
Miscelània,Quina persona protagonitza una gravació domèstica de 18 segons que l’americà d’origen rus Abraham Zapruder va vendre a la revista Life per 150.000 dòlars?,John F. Kennedy,20/02/2024
Història,Ordeneu cronològicament aquests períodes històrics del Japó,Edo (1603-1867) - Meiji (1867-1912) - Reiwa (2019-),20/02/2024
Temes valencians,"Amb quin nom artístic és més conegut Nacho Magro Huertas, membre del col·lectiu valencià XLF, i autor d’una obra de 600 metres quadrats titulada «La vida és una altra cosa»?",Escif,20/02/2024
Ciència,"Quina paraula, associada al món d’internet, prové d’un sketch dels Monty Python de 1970 en el qual dos comensals tracten de demanar un menú que conté la mateixa varietat de carn enllaunada en tots els plats?",Spam,20/02/2024
Ciència,Quin científic flamenc del segle XVI és conegut principalment per una aportació que va ser corregida per James Gall i Arno Peters en 1855?,Mercator,20/02/2024
Ciència,Ordeneu per data de naixement aquests científics,Fahrenheit (1686) - Celsius (1701) - Kelvin (1824),27/02/2024
Miscelània,Amb quin malnom va ser coneguda una mítica cantant flamenca del segle XIX que va donar nom a un pal que apareix en una dita popular que remet al fet de desviar-se sobtadament d’un tema?,La Petenera,27/02/2024
Art i literatura,Relacioneu aquestes escriptores amb el seu pseudònim,Evans-Eliot; Dupin-Sand; Dunne-Egerton,27/02/2024
Temes valencians,"Quin actor, mort el 2013, té des de l’any següent una sala amb el seu nom a l’edifici Rialto de la plaça de l’Ajuntament de València?",José Sancho,27/02/2024
Ciència,"Quina condició patia Magdalena Ventura, que apareix juntament amb el seu marit en un quadre d’un pintor valencià datat en 1631?",Hirsutisme,27/02/2024
Història,"Quin estat sobirà actual, antiga colònia francesa, va ser conegut entre 1894 i 1960 com Dahomey, títol de la pel·lícula guanyadora de l’Os d’Or de l’últim Festival de Berlín?",Benín,27/02/2024
Miscelània,"El nom de quin joc de cartes, la primera referència del qual apareix en l’obra Rinconete y Cortadillo de Cervantes, va ser adaptat a l’anglès i apareix en el títol d’una pel·lícula de Robert Luketic de 2008?",Blackjack,27/02/2024
Història,"Quina institució educativa de l’estat espanyol es va fer popular a partir del 9 de març de 1871, especialment per un esdeveniment que té lloc una vegada a l’any?",Col·legi de San Ildefonso,27/02/2024
Temes valencians,Relacioneu aquestes cerveses valencianes amb la seua localitat d’origen,Alegría-Massanassa; Östia-Quart de Poblet; Tyris-Paterna; Zeta-Alboraia,5/03/2024
Esports,Quin escriptor i intel·lectual nascut a Vitòria el 1874 va donar nom a una institució educativa on es va fundar el 1948 un club esportiu guanyador de cinc títols nacionals?,Ramiro de Maeztu,5/03/2024
Miscelània,"Quina paraula, d’etimologia incerta, va adquirir el seu significat social i polític actual a partir de les accions en 1995 del col·lectiu argentí de drets humans HIJOS i en l’estat espanyol a partir de 2013?",Escrache,5/03/2024
Història,"Amb quin nom és més coneguda als EUA la Federal Kidnapping Act, per un famós cas criminal que va tindre lloc el 1932 i que implicava un personatge molt conegut per una gesta aconseguida cinc anys abans?",Lindbergh,5/03/2024
Geografia,Ordeneu aquestes ciutats segons la seua longitud,Caracas (66º) - Santiago (70º) - Nova York (74º) - La Habana (82º),5/03/2024
Miscelània,"Quin animal és Cornelius, mascota d’una marca creada el 1906 després dels treballs realitzats a un sanatori de Michigan segons els preceptes de l’Església Adventista del Setè Dia?",Gall,5/03/2024
Ciència,Quin era el cognom del metge americà que va desenvolupar el 1974 una tècnica que entre 1985 i 2005 va ser l’única recomanada per la Creu Roja dels EUA?,Heimlich,5/03/2024
Ciència,"Segons la mitologia grega, de quin déu eren fills els bessons Fobos i Deimos, que donen nom a dos cossos del sistema solar de 22 i 12 km de diàmetre?",Ares (Mart),5/03/2024
Història,Quins tres estats sobirans actuals han nascut en el segle XXI?,"Timor Oriental (2002), Montenegro (2006), Sudan del Sud (2011)",12/03/2024
Història,Quin personatge històric va viure tres dels esdeveniments més importants de la seua vida en tres illes pertanyents a tres països diferents?,Napoleó,12/03/2024
Ciència,"Quina ciutat europea es troba en el nom d’un grup cultivar de la família de les brassicàcies, pel fet que es tenen notícies de la seua producció en aquella zona des del segle XIII?",Brusel·les,12/03/2024
Ciència,"Quina paraula, popularitzada per Sigmund Freud, té relació etimològica amb l’arrel indoeuropea de la qual prové la paraula «amor» en alguns idiomes europeus?",Libido,12/03/2024
Cine i música,"De quin regne era l’hereu el príncep Akeem, que als 21 anys havia de casar-se amb Imani Izzi però va acabar fent-ho amb una dona que va conèixer en un altre continent?",Zamunda,12/03/2024
Esports,Quin esportista nascut el 1904 va ser més conegut per crear una marca amb un logo que tenia relació amb el malnom pel qual va ser conegut durant la seua carrera?,René Lacoste,12/03/2024
Temes valencians,"Quin municipi castellonenc, conegut per les pintures prehistòriques del barranc de la Valltorta, té un topònim que deriva de l’àrab i que significa «fill de Rumman»?",Les Coves de Vinromà,12/03/2024
Cine i música,"Quin personatge literari, creat per Alicia Giménez Bartlett el 1996, va donar nom a una sèrie de televisió de 1999 protagonitzada per Ana Belén i Santiago Segura?",Petra Delicado,12/03/2024
Temes valencians,"En quina localitat castellonenca va fundar el crític d’art Vicente Aguilera Cerni en 1970 un espai que acull obres de Picasso, Miró, Dalí o Warhol?",Vilafamés,26/03/2024
Ciència,"Quina paraula, que prové d’un medicament comprimit enregistrat el 1884, va passar a designar popularment certes publicacions periòdiques d’una mida aproximada de 43x28 centímetres?",Tabloide,26/03/2024
Miscelània,"Amb quin nom, que en la seua llengua pròpia significa «combat de contacte» es coneix un estil de lluita i defensa personal emprat per les forces armades d’un estat sobirà concret?",Krav Magá,26/03/2024
Ciència,"Quina marca de productes electrònics, fundada el 1969, pren el seu nom d’un adverbi llatí que significa «textualment»?",Verbatim,26/03/2024
Miscelània,"Quin model de cotxe, fabricat als EUA entre 1983 i 1993, rep el seu nom a partir del caçador més important de la mitologia grega?",Ford Orion,26/03/2024
Geografia,"Quina illa, territori britànic situat al mar Carib, va ser batejada en 1493 per Colom en honor a un famós massís muntanyós de la península Ibèrica?",Montserrat,26/03/2024
Geografia,"Digueu quatre països pels quals passe la carretera E45, la ruta més llarga nord-sud del continent europeu","Noruega, Finlàndia, Suècia, Dinamarca, Alemanya, Àustria, Itàlia",26/03/2024
Miscelània,Quina peça de roba rep el seu nom a partir del d’una illa de pescadors que eren coneguts per teixir la seua pròpia roba per protegir-se del fred?,Jersei,26/03/2024
Cine i música,"Quina pel·lícula de 1991, adaptació de la segona part d’una tetralogia, té un animal al seu títol tot i que en el seu cartell més famós apareix un altre animal?",El silenci dels anyells,2/04/2024
Geografia,"Quin estat sobirà, el 189 en extensió del món, s’anomena a partir d’un cognom medieval que etimològicament significa «pedra lluminosa»?",Liechtenstein,2/04/2024
Cine i música,"Quin instrument musical d’origen asiàtic, d’entre 60 i 120 centímetres, apareix en el nom d’un grup musical de l’estat espanyol actiu des de 1987?",Tam Tam,2/04/2024
Geografia,Classifiqueu aquests països segons circulen pel carril dret o esquerre,"Dret - Cambodja, Corea del Sud, Haití; Esquerre - Mauricio, Moçambic",2/04/2024
Ciència,"Quina illa, que pertany a la província de Nusatenggara Oriental, és coneguda per la presència d’un animal d’uns 2-3 metres de llargària que porta el nom de l’illa en el seu nom comú?",Komodo,2/04/2024
Temes valencians,"Quin futbolista, en actiu en la temporada 2023-24, és el valencià que ha jugat més partits amb la selecció espanyola de futbol?",Raúl Albiol (58),2/04/2024
Miscelània,Quin esportista va crear el 1952 una marca de roba coneguda per ser el símbol del moviment mod en la dècada de 1960 i posteriorment ser utilitzada tant per moviments d’extrema dreta com d’extrema esquerra?,Fred Perry,2/04/2024
Ciència,Ordeneu aquests colors per la seua longitud d’ona,Roig-Groc-Verd-Blau,2/04/2024
Miscelània,"Quin grup musical, encara en actiu, té un nom que fa referència a un succés que va tindre lloc, per exemple, en Linares el 29 d’agost de 1947, en Pozoblanco el 26 de setembre de 1984 i en Colmenar Viejo el 30 d’agost de 1985?",Toreros Muertos,9/04/2024
Història,"Quina deïtat, associada de vegades per sincretisme a la Verge Maria, conforma juntament amb Mallku i Amaru la trilogia de la percepció societat-natura del poble aimara?",Pachamama,9/04/2024
Ciència,"Quina formació d’origen volcànic, d’uns 60 milions d’anys d’antiguitat, va ser declarada patrimoni de la humanitat en 1986 i està associada tradicionalment a Finn MacCool i Benandonner?",Calçada del Gegant,9/04/2024
Ciència,"Quina planta de la família Asteraceae és el símbol d’un cap d’estat actual que, segons la tradició, té el seu origen al segle VII aC?",Crisantem,9/04/2024
Miscelània,"Quin periòdic va fer un encàrrec en 1931 al tipògraf Stanley Morison, que va fer un disseny que fou utilitzat durant vora quatre dècades per eixe periòdic?",The Times,9/04/2024
Geografia,"A quins dos estats sobirans pertanyen les illes Martín García i Timoteo Domínguez, que en 1980 es fusionaren per un arrossegament al·luvial que des de 1988 constitueix l’única frontera terrestre entre ambdós països?",Argentina i Uruguai,9/04/2024
Esports,"Quin artista, la fortuna del qual està valorada en uns 800 milions d’euros, va fer carrera en la música després d’haver de retirar-se de la pràctica esportiva per un accident patit en setembre de 1962?",Julio Iglesias,9/04/2024
Temes valencians,"Quin dibuixant i historiador valencià va fundar el 1954 un museu en un edifici que va ser propietat de la família Rabassa de Porallós, que va adquirir un títol nobiliari en 1699?",Manuel González Martí,9/04/2024
Miscelània,"Quina peça de roba, originària de la Xina, té en el seu nom un altre topònim perquè era la zona des de la qual s’iniciava la ruta comercial cap a Espanya?",Mantó de Manila,16/04/2024
Esports,"Quin era el cognom del sisé governador general del Canadà, que en 1893 va donar nom a un trofeu esportiu que actualment té una mida de 89,5 centímetres i té gravat el nom dels jugadors que l’han guanyat?",Stanley,16/04/2024
Ciència,"De quin animal prové etimològicament la paraula «perruca», a conseqüència de la consideració despectiva que tenien els nobles i aristòcrates a partir del segle XVIII?",Loro,16/04/2024
Cine i música,"On va viure, entre 1988 i 2006, i breument en 2022, l’iranià Mehran Karimi Nasseri, la vida del qual va servir d’inspiració per a la trama d’una pel·lícula de 2004?",Aeroport Charles de Gaulle,16/04/2024
Geografia,Digueu tres estats sobirans que continguen alguna de les cinc entitats subnacionals amb major superfície del món,"Rússia, Canadà, Austràlia, Dinamarca",16/04/2024
Història,"Quin estat actual dels EUA és l’hereu de Deseret, el territori del qual va ser proposat com a estat independent en 1849 per part d’una important congregació religiosa?",Utah,16/04/2024
Temes valencians,"Quina dona apareix en el títol d’un sainet publicat en 1845 i ambientat en el poble de Favara, on es parla de la querella de la protagonista contra Pasqualo, fill del Tio Collons i de la Tia Tomasa?",Visanteta,16/04/2024
Ciència,"Amb quin nom, que inclou un gentilici, es coneix popularment una invenció creada en el segle VI però popularitzada a partir del segle XIII per l’imperi bizantí, la composició de la qual no ha arribat als nostres dies?",Foc grec,16/04/2024
Geografia,"La bandera de quin estat sobirà conté els símbols de la llum i la calor i l’obscuritat i el fred, envoltats pels símbols del cel, aigua, foc i terra, sobre un fons que representa la pau?",Corea del Sud,22/04/2024
Cine i música,Classifiqueu aquestes pel·lícules segons siguen de Disney o Pixar,"Disney-Encanto, Vaiana, Zootropolis; Pixar-Inside Out, Luca",22/04/2024
Art i literatura,Relacioneu aquestes cases o pobles de la saga Dune amb el seu planeta,Atreides-Caladan; Corrino-Salusa Secundus; Fremen-Arrakis; Harkonnen-Giedi Prime,22/04/2024
Ciència,Amb quines tres lletres es coneixia un compost sintetitzat per primera vegada en 1874 i que va ser prohibit en 1972 arran de la publicació d’un llibre anomenat «Primavera silenciosa»?,DDT,22/04/2024
Història,"A quina ciutat, fundada per Alonso de Mendoza en 1548 després de sufocar la insurrecció de Gonzalo Pizarro, se li va afegir des de 1827 el nom de la batalla d’Ayacucho contra l’exèrcit espanyol?",La Paz,22/04/2024
Ciència,"A la vora de quin riu d’Arizona es trobaren diversos exemplars d’un rèptil verinós de fins a 60 cm de llargària, motiu pel qual es va incorporar el nom d’eixe riu al nom comú de l’animal?",Gila,22/04/2024
Temes valencians,"Segons la tradició, sobre quines dues edificacions de la ciutat de València, properes entre si, es troben dues aus que establirien un diàleg metafòric entre l’espiritual i el mundà?",El Mercat Central i els Sants Joans,22/04/2024
Esports,De quines dues nacionalitats són els únics ciclistes no europeus en guanyar el Tour de França en el segle XXI?,"Austràlia (Cadel Evans, 2011) i Colòmbia (Egan Bernal, 2019)",22/04/2024
Història,"Quin territori no sobirà rep el seu nom actual, segons la creença popular, a partir d’una campanya per atraure colons realitzada a finals del segle X?",Groenlàndia,29/04/2024
Esports,Ordeneu aquests JJOO pel nombre de medalles d’or aconseguides per Michael Phelps,Beijing (8) - Atenes (6) - Rio (5) - Londres (4),29/04/2024
Ciència,"Quin personatge de la mitologia grega, fill de Cronos i Filira i conegut per la seua cultura, té un nom que es relaciona etimològicament amb les mans?",Quirón,29/04/2024
Ciència,"Quin medicament, patentat per l’empresa Allergan i aprovat per al seu ús en 2002, es compon principalment d’una neurotoxina paralitzant que és considerada per la Convenció de Ginebra com a arma de destrucció massiva?",Botox,29/04/2024
Cine i música,Relacioneu aquestes pel·lícules de Nicolas Cage amb el seu pentinat,1-Cara a cara; 2-Arizona Baby; 3-Corazón salvaje; 4-Con Air,29/04/2024
Temes valencians,"Quina era la professió de l’home que dirigia el negoci a València de l’alemany Jacobo Vitzlán, i que el 1474 va aconseguir una fita sense precedents a la península, i que té relació amb la Verge Maria?",Impressor,29/04/2024
Història,"Quin sant dona el seu nom popular a la catedral de la Intercessió de la Mare de Déu al Turó, que en 1990 va ser declarada, amb la plaça on s’ubica juntament amb una famosa fortificació, patrimoni de la humanitat per la UNESCO?",Sant Basili,29/04/2024
Miscelània,"En quina sala de festes de Barcelona, hui discoteca, es va popularitzar, en els anys 50 i 60, un tipus de entrepà que des d’aleshores porta el seu nom?",Bikini,29/04/2024
Història,"Amb quin nom es va rebatejar a partir de 1904 la plaça Longacre, després que es traslladara a eixe lloc la seu d’un diari que té la segona major tirada impresa del seu país?",Times Square,7/05/2024
Miscelània,"Amb quin nom, que es deu al seu ús per part de pirates i bandits, es coneix un tipus d’embarcació que protagonitzava un poema publicat el 1835?",Bergantín,7/05/2024
Temes valencians,"Quin producte va popularitzar a partir de 1956 un empleat de banca nascut a Geldo, amb l’objectiu de donar suport als estudiants d’una acadèmia per a opositors que havia creat uns anys abans?",Quaderns Rubio,7/05/2024
Cine i música,Relacioneu aquestes pel·lícules d’Akira Kurosawa amb les obres de Shakespeare que adapten,Els malvats dormen en pau - Hamlet; Ran-King Lear; Tron de sang-Macbeth,7/05/2024
Geografia,"Quin districte d’una ciutat asiàtica, amb més de 500.000 habitants, es va popularitzar a occident després d’una cançó publicada l’any 2012?",Gangnam,7/05/2024
Ciència,"Amb quin nom comú es coneix la pitiriasi o furfuràcia, afecció que s’estima que pot afectar fins al 50% de la població mundial?",Caspa,7/05/2024
Esports,Digueu el nom de dos esportistes (no futbolistes) que estiguen entre els 10 millor pagats de 2023 segons la revista Forbes,"Lebron James, Canelo Álvarez, Dustin Johnson, Phil Mickelson, Stephen Curry, Roger Federer, Kevin Durant",7/05/2024
Ciència,Quina reina del segle XIX va donar nom a una recepta gastronòmica amb ingredients que representen els tres colors de la bandera d’un estat sobirà?,Margarida de Savoia,7/05/2024
Miscelània,Quin és el nom del personatge representat en una estàtua a Roma on al llarg del segle XVI era costum col·locar escrits satírics?,Pasquino,14/05/2024
Ciència,"Quina pràctica pseudocientìfica, que significa en la seua llengua «vent i aigua» es va popularitzar als EUA després d’una visita de Richard Nixon a la Xina en 1972?",Feng Shui,14/05/2024
Miscelània,Quin era el nom de pila del propietari d’un restaurant de Tijuana que el 4 de juliol de 1924 va crear un plat que des d’aleshores porta el seu nom i que compta amb ingredients com el formatge parmesà i la salsa Worcestershire?,César,14/05/2024
Esports,"Quin joc de cartes rep el seu nom, procedent de l’italià, perquè el seu objectiu és reunir les quatre cartes del mateix valor?",Tute,14/05/2024
Temes valencians,Classifiqueu aquestes paraules segons estiguen recomanades o no pels nous criteris lingüístics del govern valencià,"Sí: Acostar, Eixir, Pròxim; No: Despesa, Feina",14/05/2024
Ciència,"En honor a quin científic es van batejar en 1985 uns guardons que, amb algunes excepcions puntuals, es lliuren de manera pòstuma?",Darwin,14/05/2024
Història,Ordeneu cronològicament el començament d’aquestes guerres,100 (1337) - 80 (1568) - 30 (1618) - 7 (1757),14/05/2024
