CATEGORIA,PREGUNTA,RESPOSTA,DATA
Història,"Quin escriptor, la novel·la més coneguda del qual va tenir una adaptació al cine en 2012 guanyadora de tres Oscars, va ser el principal impulsor el 1886 del Conveni de Berna sobre els drets d’autor?",Victor Hugo,21/11/2023
Esports,Relaciona els següents circuits de Formula 1 amb la imatge corresponent,"1-Spa, 2-Suzuka, 3-Catalunya, 4-Monza",21/11/2023
Temes valencians,"Quin catedràtic nascut a Sueca el 1856 té dedicat, des de 1922, un carrer al barri de la Roqueta de València que abans era conegut com carrer Buenavista?",Miguel Marzal,21/11/2023
Miscelània,Digueu el nom de pila de tres dels germans Dalton dels còmics de Lucky Luke,"Joe, Jack, William, Averell",21/11/2023
Miscelània,"Quin personatge, creat el 1963 per Willard Scott i que arribà a la Gran Via de Madrid el 1981, és reconegut, segons una enquesta de principis dels 2000, pel 96% dels xiquets dels EUA, només superat per Santa Claus?",Ronald McDonald,21/11/2023
Ciència,"Amb el nom de quina marca registrada es coneix a l’estat espanyol un material, anomenat Durlock en l’Argentina, inventat el 1894 col·locant algeps entre quatre capes de paper de feltre de llana?",Pladur,21/11/2023
Ciència,"Quin científic va ser el primer a descobrir les propietats del mineral Pechblenda, abans dels famosos descobriments de Marie Curie, fet que els va permetre compartir el Premi Nobel de Física l’any 1903?",Becquerel,21/11/2023
Geografia,"Quin estat sobirà des de 1979, amb capital en Tarawa Sud, conegut anteriorment com Illes Gilbert i composat per un grup de 33 atolons coralins i una illa volcànica, és el primer indret poblat del planeta en donar la volta al calendari cada any?",Kiribati,28/11/2023
Història,"Amb quin malnom era conegut un tsar rus del segle XVI, que en eixa llengua es diu igual que la capital d’una república no sobirana, encara que eixa ciutat va ser fundada per un altre tsar al segle XIX?",Grozni,28/11/2023
Cine i música,"Quin logo, inspirat en la deessa de l’hinduisme Kali, va ser dissenyat per John Pasche i aparegué per primera vegada el 1971?",Rolling Stones,28/11/2023
Ciència,"Qué mesura l’índex d’Schmidt, compost per quatre nivells, i que va contribuir al fet que el seu creador rebera el premi satíric Ig Nobel l’any 2015?",Dolor de les picadures d'insectes,28/11/2023
Ciència,"Quin animal, el nom del qual significa «monstre d’aigua», és endèmic d’un sol estat sobirà i apareix en els bitllets de 50 d’eixe país?",Ajolote,28/11/2023
Temes valencians,"Quina representació teatral del País Valencià, representada almenys des de 1910, pren el seu nom de la deformació del d’un dels seus personatges principals?",Tirisiti,28/11/2023
Miscelània,Relacioneu aquests pirates amb la bandera amb la qual s’associen,"1-Henry Every, 2-Barbanegra, 3-Edward England, 4-Calico Jack",28/11/2023
Esports,"Digueu cinc ciutats on s’haja disputat la final de la Copa d’Europa o Champions League de futbol masculí, i que no tinguen cap equip que mai haja jugat una final","Brusel·les, Stuttgart, Berna, Viena, Lisboa, Sevilla, Bari, Gelsenkirchen, Estambul, Moscú, Berlín, Cardiff, Kiev",28/11/2023
Geografia,Identifiqueu aquestes antigues repúbliques soviètiques amb la seua forma,"1-Turkmenistan, 2-Tadjikistan, 3-Uzbekistan, 4-Kirguizstan",4/12/2023
Història,"La gestió de quin territori i parc natural, propietat de la corona espanyola, va ser atorgada, mitjançant una Real Cédula signada per Felip V en l’any 1705, a 22 ens «congozantes» que ja l’explotaven des del segle IX?",Bardenas Reales,4/12/2023
Art i literatura,Digueu el nom de tres dones que hagen guanyat el Premio Cervantes,"María Zambrano (1988), Dulce María Loynaz (1992), Ana María Matute (2010), Elena Poniatowska (2013), Ida Vitale (2018), Cristina Peri Rossi (2021)",4/12/2023
Esports,Ordeneu aquestes proves del decatló olímpic masculí segons l’ordre en el qual es disputen,100 metres - Alçada - Javelina - 1500 metres,4/12/2023
Miscelània,"Quina paraula, reconeguda en el diccionari de la RAE, prové de la mascota oficial d’una empresa creada per dos germans el 1889 i que en origen s’anomenava Bibendum per una frase en llatí que apareixia en el seu primer cartell?",Michelin,4/12/2023
Temes valencians,"Segons la llegenda, quin objecte va traure Sant Vicent Ferrer el 1413 per a indicar la casa d’una família pobra que vivia prop del carrer de Tapineria?",Mocaoret,4/12/2023
Ciència,Quin múscul del cos humà rep el seu nom perquè amb la seua contracció s’aconsegueix la posició típica de treball d’una professió concreta?,Sartori,4/12/2023
Ciència,"Quin científic, deixeble de Charcot, va publicar el 1885 un article on descrivia l’afecció dels pacients d’un hospital que anava acompanyada d’ecolàlia i coprolàlia?",Tourette,4/12/2023
Història,"Quin sàtrapa del segle IV aC, que va morir a l’actual ciutat turca de Bodrum, dona nom a una tipologia constructiva?",Mausolo,12/12/2023
Temes valencians,Digueu cinc polítics nascuts al País Valencià que hagen sigut ministres del govern de l’estat espanyol en el segle XXI,"Juan Costa, María Teresa Fernández de la Vega, Pedro Solbes, Bernat Soria, Máximo Huerta, José Luis Ábalos, Luis Planas, Diana Morant",12/12/2023
Geografia,Quin estat sobirà rep el seu nom a partir d’una imatge que es venera en la catedral de Sevilla i de la forma de les arrels aèries d’uns arbres que creixen en aquella zona?,Antigua i Barbuda,12/12/2023
Ciència,"En quina ciutat europea, que apareix en el nom pel qual és coneguda, va morir una religiosa del segle XII creadora de la Lingua Ignota, la primera llengua construïda de la història?",Bingen,12/12/2023
Cine i música,"En quin recinte, construït per als Jocs Olímpics de 1964, han fet concerts The Beatles, Led Zeppelin, Queen o Bob Dylan, que té un disc en directe que inclou el nom d’eixe lloc?",Budokan,12/12/2023
Esports,Quins dos personatges de la mitologia clàssica apareixen en el nom de dos equips que participen en la primera divisió de futbol masculí d’una lliga que començà a disputar-se en 1956 i que no està entre les cinc grans lligues d’Europa?,Ajax i Heracles,12/12/2023
Art i literatura,"Quin era el cognom dels germans Robert i Mary, que van acompanyar a Lord Glenarvan i la seua esposa a buscar a son pare, que havia naufragat en 1862?",Grant,12/12/2023
Ciència,"Quina substància viscosa, pròpia de l’ésser humà i els mamífers, va ser anomenada pels grecs per la seua semblança amb el suc dels caps de rosella o cascall?",Meconi,12/12/2023
Geografia,Quina regió històrica europea rep el seu nom a partir de la denominació en alemany dels ducs que prestaven vassallatge als emperadors germànics?,Herzegovina,19/12/2023
Ciència,Relacioneu aquestes estrelles amb la seua tipologia,Aldebaran - Gegant roja; Proxima Centauri - Nana roja; Sírius B - Nana blanca; Sol - Nana groga,19/12/2023
Miscelània,"Quin era el cognom d’un home, nascut al Regne de Bohèmia, que el 1892 va patentar una màquina que permetia elaborar els productes d’una marca amb el seu nom que fins a 2021 tenia un cigne al seu logo?",Swarowski,19/12/2023
Ciència,"De quin matemàtic alemany, nascut el 1790 i descendent de Martí Luter, va prendre el nom un famós escriptor i il·lustrador francès mort el 2012?",Moebius,19/12/2023
Cine i música,Classifiqueu els següents superherois de Marvel segons si van sobreviure o no a l’espetec de Thanos en Infinity War,"Sí - Nebula, Rocket; No - Black Panther, Drax, Falcon",19/12/2023
Cine i música,"Quin personatge històric, associat a una malaltia de la qual va morir amb trenta-sis anys, han interpetat en el cinema actors com Victor Mature, Kirk Douglas o Val Kilmer?",Doc Holliday,19/12/2023
Temes valencians,Ordeneu de més antic a més nou aquests bars de València,Lisboa (1956) - Christopher Lee (1971) - Radio City (1979) - Glop (1984),19/12/2023
Història,Digueu dos estats sobirans d’Amèrica Llatina que no hagen canviat el nom de la seua moneda des del segle XIX,"República Dominicana, Costa Rica, Paraguai, Guyana, Haití, Mèxic, Colòmbia",19/12/2023
Geografia,Digueu tres estats sobirans en la bandera dels quals apareguen cinc o més estreles,"Australia, Bosnia i Herzegovina, Brasil, Cabo Verde, Estats Units, Granada, Honduras, Islas Salomón, Kosovo, Papua Nova Guinea, Samoa, Singapur, Tayikistan, Turkmenistan, Tuvalu, Uzbekistan, Venezuela",9/01/2024
Geografia,"Amb quin nom es va rebatejar el 1970 la zona de la platja de Yauya o de los Borrachos, que va ser comprada per uns inversionistes nord-americans un any abans i que en 2023 va trencar el rècord de visites turístiques?",Punta Cana,9/01/2024
Esports,"Ordeneu, en sentit horari, aquests números en una diana professional",4-15-2-11,9/01/2024
Cine i música,"Quina cançó, amb lletra i personatges de domini públic, va ser la primera a arribar als deu mil milions de reproduccions a YouTube en una versió de l’estudi sud-coreà Pinkfong?",Baby Shark,9/01/2024
Ciència,Amb el nom de quin matemàtic nascut en 1777 es coneix en estadística la representació gràfica de la distribució normal d’un conjunt de dades?,Gauss,9/01/2024
Temes valencians,"Quin polític nascut a Cadis i criat a València, fill d’un garibaldí exiliat, va ser un dels fundadors del diari El Pueblo, col·laborador estret de Blasco Ibáñez i diputat a Corts durant la Restauració Borbònica?",Félix Azzati,9/01/2024
Cine i música,"Quina pel·lícula, guanyadora de l’Oscar en 1931 i de la qual Anthony Mann va fer una nova versió en 1960, rep el seu títol a partir del comtat més occidental de l’estat d’Oklahoma?",Cimarron,9/01/2024
Ciència,"Quin mamífer africà, l’única espècie del seu gènere i parent de la girafa, va ser desconegut en occident fins a principis del segle XX quan va ser descrit per Harry Johnston?",Okapi,9/01/2024
Ciència,Digueu quatre noms d’animals que acaben amb la lletra -u,"Ñu, Emú, Ñandú, Cebú, Marabú, Coendú, Kudú, Coipú, Jabirú, Pudú",16/01/2024
Història,"Quin era el cognom d’un dels pares fundadors dels EUA, a partir del qual es coneix, amb la seua denominació actual des de 1932, un complex d’edificis de propietat militar i que alberga el museu del general Patton?",Henry Knox,16/01/2024
Història,"Quin estat sobirà, el més antic del seu continent i fundat segons la tradició al segle IV, té com a caps d’estat dos capitans regents que exerceixen el càrrec col·legiadament durant sis mesos?",San Marino,16/01/2024
Cine i música,"Quin era el nom d’una amiga de Fat Mike, vocalista de NOFX, que es va dedicar al porno i que va inspirar el nom d’un grup de l’estat espanyol format el 1998 i que encara està en actiu?",Lori Meyers,16/01/2024
Ciència,"Quin fàrmac, el component bàsic del qual és l’òxid de zinc, s’utilitzava antigament contra les malalties oculars i va passar a ser emprat com a sinònim de «remei», apareixent en una frase feta que expressa que alguna cosa no té solució?",Tutia,16/01/2024
Esports,Ordeneu aquestes marques pel número de vegades que han guanyat el campionat mundial de ral·lis,Lancia (10) - Citroën (8) - Toyota (7) - Peugeot (5),16/01/2024
Cine i música,"En quin codi postal vivien, després de traslladar-se des d’un suburbi de Minneapolis, els pares de Brandon i Brenda Walsh entre 1990 i 2000?",90210,16/01/2024
Temes valencians,Relacioneu aquestes capitals comarcals del País Valencià amb la seua bandera,"1-Sogorb, 2-Oriola, 3-Dènia, 4-Gandia",16/01/2024
Ciència,"Quin nom reben les molècules, composades per un grup -NH2 i un altre -COOH, la primera de les quals va ser descoberta en 1806 a partir d’un espàrrec?",Aminoàcid,23/01/2024
Geografia,Digueu tres estats sobirans europeus en els quals la seua capital no siga el municipi amb més població del seu país,"Bèlgica (Amberes), Liechtenstein (Schaan), Malta (Birkirkara), Mónaco (Montecarlo), San Marino (Serravalle), Suïssa (Zúrich), Turquía (Estambul)",23/01/2024
Geografia,Relacioneu aquests lemes nacionals amb l’estat sobirà al qual pertanyen,"1-Luxemburg, 2-Vietnam, 3-Xina, 4-Turquía",23/01/2024
Esports,Quina disciplina esportiva celebra el seu campionat del món des de 1957 que només ha sigut guanyat pels espanyols Carlos Campano en 2010 i Jorge Prado en 2018 i 2019?,Motocross,23/01/2024
Temes valencians,"La memòria de quin ofici tradicional ja desaparegut, eix principal de la trama d’una novel·la de José Luis Sampedro adaptada al cine en 1989 i protagonitzada per Alfredo Landa, està intentant ser recuperada per una associació cultural valenciana amb seu a la comarca dels Serrans?",Ganxers del Túria,23/01/2024
Cine i música,Relacioneu aquests enemics de James Bond amb la pel·lícula on apareixen,"Blofeld-Spectre, Le Chiffre-Casino Royale, Safin-Sin tiempo para morir, Silva-Skyfall",23/01/2024
Miscelània,"Quina dona, nascuda a Bordeus, va fundar l’any 1755 juntament amb el seu nebot Jean-Baptiste Roger una empresa basada en una recepta que li va donar un mariner de les Índies Occidentals en agraïment per haver-lo cuidat?",Marie Brizard,23/01/2024
Ciència,"Quina persona, morta el 2013, dona nom a un fenomen de dissonància cognitiva col·lectiva que va ser batejat per la bloguera Fiona Broome?",Nelson Mandela,23/01/2024
Ciència,"Quin físic italià va demostrar el 1797 l’efecte que porta el seu nom, i en el qual un fluid en moviment dins d'un conducte tancat disminueix la seva pressió en augmentar la velocitat després de passar per una zona de secció menor?",Venturi,30/01/2024
Ciència,Classifiqueu aquests animals segons tinguen un nombre parell (artiodàctils) o imparell (perisodàctils) de dits,"Parell - Camell, Girafa, Hipopòtam; Imparell - Rinoceront, Zebra",30/01/2024
Cine i música,Ordeneu per edat als components de The Jackson 5,Jackie - Tito - Jermaine - Marlon - Michael,30/01/2024
Cine i música,"Quin personatge de ficció, creat per Dodie Smith en una novel·la de 1956, ha sigut intepretat en el cine per, entre d’altres, Glenn Close, Wendy Raquel Robinson i Emma Stone?",Cruella de Vil,30/01/2024
Temes valencians,Digueu cinc municipis del País Valencià amb pronunciació esdrúixola en la seua denominació oficial,"Alcàntera de Xúquer, L'Alcúdia, Alcúdia de Crespins, Algímia d'Alfara, Almàssera, L'Atzúbia, Bèlgida, Bétera, Carrícola, Dénia, L'Énova, Gátova, Guadasséquies, Yàtova, Llíria, Nàquera, Penàguila, Peníscola, Ròtova, Tàrbena, València, Xàbia, Xàtiva, Jérica",30/01/2024
Esports,Quin equip de la MLS s’anomena a partir de la intensa activitat sísmica de la zona on s’ubica?,San Jose Earthquakes,30/01/2024
Història,"Quin moviment armat, sorgit a principis de la dècada de 1960, va ser nomenat en honor al malnom del líder indígena José Gabriel Condorcanqui Noguera?",Tupamaros,30/01/2024
Història,"A quin sultanat, el nom del qual hui només representa un territori semiautònom d’un estat sobirà, es va enfrontar el Regne Unit durant 38 minuts el matí del 27 d’agost de 1896, en la que es considera la guerra més curta de la història?",Zanzíbar,30/01/2024
Història,"Com va ser més conegut l’emperador romà del segle III Vari Avit Bassià, conegut per substituir el culte al déu Júpiter pel del Sol Invictus, de qui havia pres el seu nom?",Heliogàbal,6/02/2024
Art i literatura,"Quina poeta, nascuda el 1920 i filla d’un anarquista, tenia quatre germans anomenats Numen, Poema, Azul i Alma?",Idea Vilariño,6/02/2024
Temes valencians,"Amb quin malnom es coneixia a José Morant Fuentes, nascut l’any 1900, del qual es deriva una dita popular especialment coneguda en la província d’Alacant i que fa referència a les seues capacitats físiques?",El Meló,6/02/2024
Ciència,"Quina unitat de massa, que equival aproximadament a 200 mil·ligrams, està mesurada a partir de les llavors de la garrofa?",Quirat,6/02/2024
Esports,El nom de quin trofeu esportiu fa referència als personatges principals d’una novel·la de 1844?,Copa dels mosqueters (Roland Garros),6/02/2024
Geografia,Relacioneu cada estat sobirà amb l’altitud del seu punt més alt,"Papúa Nova Guinea (Wilhelm, 4509); Algèria (Tahat, 3003); Islàndia (Hvannadalshnúkur, 2110); República Txeca (Snezka, 1602)",6/02/2024
Ciència,Relacioneu cada planeta amb el seu símbol astrològic,1-Urà; 2-Saturn; 3-Júpiter; 4-Mercuri,6/02/2024
Cine i música,"Quin gènere literari, molt barat i popular al Regne Unit al llarg del segle XIX, va donar nom a una sèrie de televisió de Showtime emesa entre 2014 i 2016?",Penny Dreadful,6/02/2024
Ciència,Amb el nom de quina ciutat europea es coneix en estadística un mètode no determinista que s’utilitza per a aproximar expressions matemàtiques complexes i difícils d’avaluar amb exactitud?,Montecarlo,13/02/2024
Miscelània,"Quina organització, específica d’una regió italiana amb capital en Catanzaro, podria provenir etimològicament d’un terme grec que significa «homes d’honor»?",Ndrangheta,13/02/2024
Miscelània,"De quin escriptor i pare de l’església dels segles II i III, que va ser començat a llegir i discutir en el segle XVII, es deia que els seus discursos eren tres vegades millors que els de Ciceró?",Tertuliano,13/02/2024
Ciència,"Quina pràctica, que té el seu origen en un ritual japonès de tortura, es divideix en tres pràctiques bàsiques conegudes com «les perles», «les cireres» i «el cos»?",Shibari,13/02/2024
Temes valencians,"Segons una llegenda, quina regió del País Valencià va ser batejada a partir d’unes paraules d’elogi que li digué el rei Jaume II d’Aragó a l’abat del monestir de Santes Creus quan es trobaren de camí per la zona?",Valldigna,13/02/2024
Història,Classifiqueu aquestes constitucions segons estiguen vigents des d’abans o després de 1950,"Austràlia (1901), Japó (1947), Itàlia (1947) - França (1958)",13/02/2024
Cine i música,Relacioneu aquestes cançons amb nom de dona amb el cantant que les va interpretar,"Alison-Costello, Carol-Berry, Claudette-Orbison, Martha-Waits",13/02/2024
Geografia,"Quin estat sobirà té com a autoglotònim una paraula que en la seua llengua pròpia significa «àguila», però la resta del món el coneix amb una altra paraula que tindria relació amb la neu?",Albània,13/02/2024
Geografia,"Sota quin nom col·lectiu s’integren, entre altres, topònims com Cos, Kastelorizo, Symi, Astipalea o Patmos?",Dodecanès,20/02/2024
Ciència,Digueu quatre ossos imparells del cos humà,"Vèrtebres, estern, frontal, occipital, mandíbula, esfenoide, etmoide, vòmer, hioide",20/02/2024
Temes valencians,Classifiqueu aquestes províncies de l’estat espanyol segons tinguen més o menys superfície que la província de València,"Més: Salamanca, Múrcia; Menys: Astúries, Lugo",20/02/2024
Ciència,"Quina paraula, d’ús habitual i més ample en l’actualitat, té el seu origen etimològic en una obra de teatre escrita per Karel Capek l’any 1920 i que en la seua llengua significa «esclavitud»?",Robot,20/02/2024
Miscelània,"Quin plat, el nom del qual es compon de dues paraules asiàtiques que signifiquen «trossos petits» i «barreja d’espècies», podria tenir el seu origen en un restaurant de Londres en la dècada de 1960?",Tikka Masala,20/02/2024
Esports,"Quina empresa va fundar el 1997, i encara patrocina, un equip de futbol que juga en la capital d’un estat amb reconeixement limitat i que va participar en la Champions League 2021-22 guanyant en el camp de l’equip que seria campió?",Sheriff,20/02/2024
Geografia,"El nom de quin barri, també conegut com Clinton, es remunta a finals del segle XIX i podria fer referència a la seua marginalitat i delinqüència?",Hell's Kitchen,20/02/2024
Art i literatura,Relacioneu aquests herois de Watchmen amb el seu nom civil,Comediant - Blake; Dr. Manhattan - Osterman; Ozymandias - Veidt; Rorschach - Kovacs,20/02/2024
Cine i música,"Quina paraula, procedent de les llengües polinèsies i introduïda a Europa a través d’un llibre sobre els viatges de l’explorador James Cook, és també el títol d’una pel·lícula de F.W. Murnau de 1931 que parla d’un amor prohibit?",Tabú,27/02/2024
Cine i música,"Com es coneixia el conjunt de coves naturals, en una eixida de les quals vivien els Goris, i que eren l’escenari d’un programa de televisió emés originalment entre 1983 i 1987?",Fraggle Rock,27/02/2024
Temes valencians,"De quina ciutat del Pròxim Orient, que apareix al seu nom científic, és originari el pi blanc, la varietat d’aquest arbre més habitual al País Valencià?",Alep,27/02/2024
Ciència,"Quin científic va ser cremat tres vegades, la primera en efígie juntament amb els seus llibres, la segona físicament a Ginebra, i la tercera en una estàtua fosa pels col·laboracionistes nazis de Vichy el 1941?",Miquel Servet,27/02/2024
Ciència,Digueu a quina vocal corresponen aquestes lletres en alfabet Braille,"1-i, 2-o, 3-a, 4-u, 5-e",27/02/2024
Geografia,"Quin tipus d’animal és Druk, que simbolitza el tro i que apareix en el títol de l’himne i la bandera d’un estat sobirà?",Drac,27/02/2024
Història,Classifiqueu aquestes persones segons siguen sunnites o xiïtes,"Sunnites - Gadafi, Sadam; Xiïtes - Ahmadineyad, al-Ásad",27/02/2024
Esports,Quins tres estats sobirans europeus han participat en almenys deu Jocs Olímpics d’estiu sense haver obtingut cap medalla?,"Mónaco (21), Malta (17), Andorra (12)",27/02/2024
Temes valencians,"Quin és el nom dels escuts medievals llargs, rectangulars i convexos, que apareix en el nom d’un carrer de Ciutat Vella acompanyat del d’un establiment públic d’origen àrab que hi havia en aquella zona?",Bany dels pavesos,5/03/2024
Ciència,"Amb el cognom de quin científic alemany, que també és el d’un famós compositor, es coneix el conjunt de pics de freqüència excepcionalment baixa de l’espectre electromagnètic de la Terra?",Resonància Schumann,5/03/2024
Miscelània,"Quina ciutat russa, propera a la desembocadura del riu Volga, dona nom a un subgènere teatral còmic que va ser popular als escenaris espanyols a principis del segle XX?",Astracan,5/03/2024
Història,Relacioneu aquests estats sobirans amb la seua antiga bandera,"1-Xile, 2-Egipte, 3-Azerbaijan, 4-Uruguai",5/03/2024
Geografia,"Amb quin nom que prové del seu descobridor, un noble francès del segle XVIII, es coneix l’illa més gran de l’arxipèlag de les Illes Salomó i que serà un estat sobirà a partir de 2027?",Bougainville,5/03/2024
Ciència,Digueu dos estats de la Unió Europea que estiguen entre els 50 primers del món en taxa d’obesitat (percentatge d’obesos respecte al total de la població adulta),"Malta (28), Hongria (41), Lituania (43), República Txeca (46)",5/03/2024
Cine i música,"Quina denominació, pejorativa en el seu origen, dona nom als aficionats d’un equip de futbol de primera divisió fundat el 1921 i, per extensió, a tots els habitants d’aquella província?",Babazorro,5/03/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,"1-Sleepers, 2-The Mexican, 3-El cazador, 4-Agost",5/03/2024
Ciència,"Quin és el nom de l’ètnia africana que viu en la zona oriental d’Etiòpia, Eritrea i Djibouti, on van ser trobades les restes de Lucy, un homínid d’aproximadament 3,5 milions d’anys d’antiguitat?",Afar,12/03/2024
Ciència,"Amb quin nom popular, que s’ha estés a l’ús popular, es coneix una malaltia parasitària que afecta les ovelles coneguda com cenurosi, que provoca mirada perduda i falta de resposta als estímuls?",Modorra,12/03/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,"1-Carreteras secundarias/La buena estrella, 2-Belle Epoque/La Celestina 3-El oro de Moscú/Carreteras secundarias/Cuernos de mujer/Torrente 2, 4-Los amantes pasajeros/Volver",12/03/2024
Geografia,Relacioneu aquests països africans segons la posició on tinguen el color verd en la seua bandera,"Gabon-superior, Gàmbia-inferior, Guinea-dreta, Senegal-Esquerra ",12/03/2024
Esports,"Quin esport practicava Robert Napunyi Wangila, única medalla d’or de Kènia als Jocs Olímpics fora de l’atletisme, i que va morir el 1994 a causa de les ferides produïdes per la pràctica del seu esport?",Boxa,12/03/2024
Geografia,"Quin estat sobirà està format pels estats de Yap, Chuuk, Ponapé i Kosrae, cadascun dels quals simbolitza una estrela de la seua bandera?",Micronèsia,12/03/2024
Temes valencians,"Quin era el malnom de Florencio Pla Meseguer, una persona intersexual nascuda a Vallibona el 1917 i la història de la qual es conta en un llibre d’Elena Solanas de 2023?",La Pastora,12/03/2024
Miscelània,"Quin joc, amb origen a la Grècia clàssica i amb variants arreu del món, va ser molt popular entre les classes aristocràtiques de l’edat moderna i va ser immortalitzat en un famós quadre de 1789?",La gallina cega,12/03/2024
Temes valencians,En quins tres municipis del País Valencià que no són capitals de província hi ha un centre penitenciari?,"Albocàsser, Picassent, Villena",26/03/2024
Esports,"Quina dona, de pares britànics i nascuda a Ipswich el 1965, és l’única esportista espanyola que ha guanyat més d’una medalla d’or als Jocs Olímpics d’Estiu?",Theresa Zabell,26/03/2024
Ciència,Ordeneu cronològicament aquestes èpoques geològiques,"Eocè (56-34 ma) - Oligocè (34-23 ma) - Miocè (23-5 ma) - Pleistocè (2,5 ma - 11,700 a)",26/03/2024
Ciència,"Quin científic, que va viure a l’arxipèlag Malai entre 1854 i 1862 estudiant les espècies animals, va establir la frontera entre els continents d’Àsia i d’Oceania?",Wallace,26/03/2024
Ciència,Relacioneu aquests òrgans del cos humà amb el temperament corresponent segons la teoria clàssica dels quatre humors,Fetge-Optimista; Vesícula-Colèric; Melsa-Melancòlic; Cervell/Pulmons-Flemàtic,26/03/2024
Cine i música,Quin personatge històric era el protagonista d’una novel·la de 1953 adaptada al cine en 1988 i per la qual el seu autor va ser excomunicat per l’església ortodoxa grega?,Jesucrist,26/03/2024
Història,"Quina organització militar, relacionada amb una altra organització política que només ha tingut dos presidents des de 1969 fins l’actualitat, va protagonitzar un conegut i luctuós incident en l’estiu de 1972 que apareix en una pel·lícula de 2005?",Septiembre Negro,26/03/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,"1-Entrevista con el vampiro; 2-La guerra de los mundos, Minority Report; 3-La sonrisa de Mona Lisa; 4-Hook",26/03/2024
Esports,Relacioneu aquests equips actuals de l’NBA amb la seua antiga denominació,Los Angeles Clippers - Buffalo Braves; Philadelphia 76ers - Syracuse Nationals; Sacramento Kings - Rochester Royals: Washington Wizards - Chicago Packers,2/04/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,1-Todos lo saben; 2-Airbag; 3-La piel que habito; 4-Todo sobre mi madre,2/04/2024
Miscelània,"Quin nom propi, que també és el d’una guanyadora de l’Oscar el 2022, va ser creat en la seua forma actual per William Shakespeare en l’obra «El mercader de Venècia»?",Jessica,2/04/2024
Temes valencians,"Quina capital comarcal del País Valencià té declarada, des de 2010, la seua Setmana Santa com a Festa d’Interés Turístic Internacional?",Oriola,2/04/2024
Història,"Quina celebració festiva, creada per un partit polític en 1932, va estar prohibida a l’estat espanyol fins a 1964?",Aberri Eguna,2/04/2024
Geografia,"Quin estat sobirà, independent del Regne Unit des de 1981, és l’únic país del món en la bandera del qual apareixen éssers humans?",Belice,2/04/2024
Ciència,Digueu quatre números primers de dues xifres entre l'1 i el 100 les xifres dels quals sumen un número imparell,"23, 29, 41, 43, 47, 61, 67, 83, 89",2/04/2024
Ciència,"Quin volcà, situat a la província del mateix nom, és la muntanya més alta del món si es pren la mesura des del centre de la Terra, a conseqüència de la forma geoide d’aquesta?",Chimborazo,2/04/2024
Història,Ordeneu cronològicament els regnats d’aquests monarques,Carles I d'Espanya (1516-1556) - Carles I d'Anglaterra (1625-1649) - Carles I de Romania (1866-1914) - Carles I d'Àustria (1916-1918),9/04/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,"1-American Gangster, Virtuosity; 2-Training Day, Tiempos de gloria; 3-Cinderella Man; 4-Cold Mountain, Judy",9/04/2024
Història,"Quina república, que va existir entre 1962 i 1990, tenia en el seu nom el indicatiu «del Nord», tot i que estava més al sud que el seu veí que s’anomenava «del Sud»?",Iemen del Nord,9/04/2024
Ciència,"Quina unitat de longitud, equivalent aproximadament a 83 centímetres, apareix en una dita popular que fa referència a una antiga tradició medieval d’adopció?",Vara,9/04/2024
Temes valencians,"Quina persona va ser executada en l’actual plaça del Mercat de València el 28 de juliol de 1460, la figura de la qual va ser recuperada en forma de premis per un col·lectiu constituït el 1986?",Margarida Borràs,9/04/2024
Esports,Relacioneu els torneigs de Grand Slam de golf amb el seu campió vigent,Augusta-Jon Rahm; PGA-Brooks Koepka; EUA-Matt Fitzpatrick; Britànic-Cameron Smith,9/04/2024
Ciència,"Quin invent, patentat per Dean Kamen en 2002 i basat en el moviment giroscòpic, va provocar la mort del propietari de la companyia en l’any 2010?",Segway,9/04/2024
Miscelània,Quin és el nom grec d’una important oració de la litúrgia cristiana que està format per una paraula en cas vocatiu i una altra en imperatiu?,Kyrie Eleison,9/04/2024
Esports,"Ordeneu, de nord a sud, els estadis d’aquests equips de Londres",Tottenham-Arsenal-Chelsea-Crystal Palace,16/04/2024
Ciència,"Quina tecnologia, basada en una agrupació de píxels davant una font de llum, està en el nom d’un grup musical de dance-punk fundat a Brooklyn en 2002?",LCD,16/04/2024
Història,Quin dia de 1643 va arribar el capità britànic William Mynors a una illa que actualment és un territori depenent d’Austràlia però que es troba més prop de la capital d’Indonèsia?,25 de desembre,16/04/2024
Cine i música,Completeu aquesta quadrícula amb el títol de tres pel·lícules,"1-Crazy Stupid Love; 2-Blade Runner 2049; 3-Un marido ideal, Atando cabos, I’m Not There; 4-Indiana Jones y el reino de la calavera de cristal",16/04/2024
Història,"En quin país va operar un grup armat republicà i obrer, que tingué un paper destacat en una rebel·lió produïda entre el 24 i el 29 d’abril de 1916, i que tenia com a emblema aquesta bandera?",Irlanda,16/04/2024
Temes valencians,"En quines dues localitats alacantines estaven les posicions «Yuste» i «Dakar», que entre el 25 de febrer i el 6 de març de 1939 les convertiren tècnicament en capital de la Segona República?",Elda i Petrer,16/04/2024
